,major,minor,nb_code,nb_blank,nb_comment,nb_nfiles,date,relative_day,major.minor
0,1,4,115336,18033,37569,1624,2009-01-06,0,1.4
1,1,5,129319,20261,44820,1705,2009-02-18,43,1.5
2,1,6,152705,23755,65761,1923,2009-11-05,303,1.6
3,2,0,181316,27549,67567,2251,2010-06-05,515,2.0
4,3,0,255305,39181,87179,2894,2012-02-07,1127,3.0
5,3,1,258194,39307,88912,2837,2012-06-22,1263,3.1
6,3,2,323616,52380,140778,3104,2012-12-17,1441,3.2
7,3,3,416155,67460,180168,3750,2013-06-20,1626,3.3
8,3,4,356711,56997,170462,3427,2013-10-24,1752,3.4
9,4,0,422093,66220,179895,3820,2014-05-30,1970,4.0
10,4,1,483211,77090,226741,4241,2015-01-28,2213,4.1
11,4,2,499671,78935,234397,4297,2015-10-22,2480,4.2
12,4,3,515659,79336,233230,4198,2016-08-09,2772,4.3
13,4,4,532121,82317,229918,4378,2017-03-07,2982,4.4
