,major,minor,patch,nb_code,nb_blank,nb_comment,nb_nfiles,date,relative_day,major.minor.patch
0,1,4,0,115336,18033,37569,1624,2009-01-06,0,1.4.0
1,1,5,0,129319,20261,44820,1705,2009-02-18,43,1.5.0
2,1,5,1,133424,20780,44377,1784,2009-08-05,211,1.5.1
3,1,5,2,134275,20719,38184,1796,2009-08-17,223,1.5.2
4,1,6,1,152705,23755,65761,1923,2009-11-05,303,1.6.1
5,2,0,0,181316,27549,67567,2251,2010-06-05,515,2.0.0
6,2,0,1,181826,27681,67584,2255,2010-07-06,546,2.0.1
7,3,0,0,255305,39181,87179,2894,2012-02-07,1127,3.0.0
8,3,0,1,256081,39290,87887,2896,2012-03-12,1161,3.0.1
9,3,1,0,258194,39307,88912,2837,2012-06-22,1263,3.1.0
10,3,1,1,258951,39420,89215,2840,2012-09-17,1350,3.1.1
11,3,1,2,259038,39435,89243,2841,2012-09-27,1360,3.1.2
12,3,2,0,323616,52380,140778,3104,2012-12-17,1441,3.2.0
13,3,2,1,325885,52767,141157,3108,2013-02-28,1514,3.2.1
14,3,2,2,325827,52749,141120,3104,2013-04-16,1561,3.2.2
15,3,3,0,416155,67460,180168,3750,2013-06-20,1626,3.3.0
16,3,3,1,424897,68849,181951,3827,2013-09-11,1709,3.3.1
17,3,3,2,425114,68870,181978,3827,2013-10-24,1752,3.3.2
18,3,4,0,356711,56997,170462,3427,2013-10-24,1752,3.4.0
19,3,4,1,356606,57092,170586,3432,2013-12-16,1805,3.4.1
20,3,4,2,357060,57139,170593,3432,2014-02-25,1876,3.4.2
21,4,0,0,422093,66220,179895,3820,2014-05-30,1970,4.0.0
22,4,0,1,419734,65988,179947,3822,2014-08-04,2036,4.0.1
23,4,0,2,420252,66093,180368,3828,2014-11-03,2127,4.0.2
24,4,1,0,483211,77090,226741,4241,2015-01-28,2213,4.1.0
25,4,1,1,486044,77357,226294,4230,2015-05-07,2312,4.1.1
26,4,1,2,486410,77411,226363,4230,2015-07-28,2394,4.1.2
27,4,2,0,499671,78935,234397,4297,2015-10-22,2480,4.2.0
28,4,2,1,500161,79043,234453,4296,2015-12-07,2526,4.2.1
29,4,2,2,501035,79137,234639,4299,2016-04-27,2668,4.2.2
30,4,3,0,515659,79336,233230,4198,2016-08-09,2772,4.3.0
31,4,3,1,515924,79361,233247,4196,2016-12-14,2899,4.3.1
32,4,4,0,532121,82317,229918,4378,2017-03-07,2982,4.4.0
33,4,4,1,532915,82355,229985,4376,2017-05-08,3044,4.4.1
34,4,4,2,533292,82399,230058,4377,2017-08-30,3158,4.4.2
